en,ks,domain
"Yes. Being a Dalit himself, he realised how hard is it to deal with the evil of untouchability.","آ۔ پانہٕ اکھ دٔلِت آسنہٕ کِنۍ گوٚو تمَن احساس زِ اچھوت چہ بدی خلاف مقابلہ کرُن کوٗتاہ مُشکِل چھُ۔","conversation"
"Thus, he fought for the rights of the lower class.","اَمی مۄٗجوب کٔر تمۍ کمتَر طبقَن ہِنٛدین حقوقَن ہندِ باپت جدوجہد۔","conversation"
"He extensively campaigned against the discrimination and came out victorious.","أمۍ چلٲو امتیٲزی سلوکَس خِلاف وسیع پیمانَس پیٹھ مُہِم تہٕ گوٚو فتح یاب۔","conversation"
"Wow, what a strong personality!","واہ، کیٛاہ مضبوط شخصیَت!","conversation"
"That is why the day is also commemorated as Equality Day all across the subcontinent.","اَمی مۄکھٕ چھُ یہِ دۄہ سٲرسٕے برصغیرَس منٛز یومِ مساوات پٲٹھۍ تہِ مناونہٕ یِوان۔","conversation"
"I am sure you are going to love reading about this man when you study the chapter in school.","مےٚ چھُ یقین زِ ییٚلہِ ژٕ سکولَس منٛز یہِ چیٹَر پرکھ، ژَے لَگی مَزٕ أمِس شخصس مُتعلِق پرنَس منٛز۔","conversation"
"Yes mom, I can't wait for it.","اَہانی ممی، بہٕ ہیکہ نہٕ پیٲرِتھ۔","conversation"
"I am really intrigued.","مےٚ لج پزی اُتاولی۔","conversation"
"Okay, now tell me what movie do you want to go for?","اچھا، وۄنۍ وَن مےٚ ژٕ کۄس فِلِم چھُکھ یژھان ؤچھِنۍ؟","conversation"
"Do you want to watch the new Marvel movie?","کیٛاہ ژٕ چھَکھٕ یژھان نٔو مارول فِلِم ؤچھِنۍ؟","conversation"
"You mean Doctor Strange and the Multiverse of Madness?","چون مطلب چھا ڈاکٹر سٹرینج اینڈ دی ملٹیورس آف میڈنیٚس؟","conversation"
"I am dying to watch it.","بہٕ چھَس مران یہِ ؤچھنہٕ باپت۔","conversation"
"Can you book the tickets?","کیٛاہ ژٕٕ ہیکٕہ کھا ٹِکٹہ بُک کٔرِتھ؟","conversation"
"Let me talk to Dad.","مےٚ دِ مٲلِس سۭتۍ کَتھ کرنہٕ۔","conversation"
"Hey, you are pursuing.a course in web designing, aren't you?","ہے، ژٕ چھَکھ ویب ڈزایِنٛگ منٛز کورس کران، چھَکھ نَہ؟","conversation"
"One of my friends is thinking of doing the same so, I told her I'd get some information from you about it.","میٲنۍ وٮ۪س تہِ چھِ سونٛچھان یٖۍ کرنُک، مےٚ ووٚن تٔمِس بہٕ کَرٕ ژَے نِش اَتھ مُتعلِق کینٛہہ معلوٗم حٲصِل ۔","conversation"
"Yeah, I am in my second year.","اۭں، بہٕ چھَس سٮ۪کنٛڑ ییرَس ۔","conversation"
"That's great, so what does she want to know?","سُہ گوٚو واریٛاہ اصل، وۄنۍ کیٛاہ چھےٚ سۄ یژھان زانُن؟","conversation"
"Which are the colleges that offer a diploma course in web designing?","کَتھ کَتھ کالیجَس منٛز چھِ ویب ڈزاینٛگ منٛز ڈِپلومسا کورس کَرناوان؟","conversation"
"She is not very sure of her choice, so she just wants to try it out at this point.","سۄ چھَنہٕ وٕنہِ پوٗرٕ شٮ۪وَر، توَے چھےٚ سۄ وٕنکٮ۪س یہِ ٹراے کرُن یژھان۔","conversation"
"Ok, I get that.","اوکے، مےٚ آو سمٕجھ۔","conversation"
"It is available at a lot of colleges like the School of Fashion Technology, Pune; Stella Maris College, Chennai and Loyola College, Chennai among numerous others.","یہِ چھُ واریٛاہَن کالیجَن منٛز دٔستیاب، یِتھ کٔنۍ زَن ڈی سکوٗل اف فیشن ٹیکنالوجی، پوٗنے؛ سٹیلا میریس کالیج، چنئے اینٛڈ لویولا کالیج، چنٮٔے تہٕ باقٮ۪ن واریٛاہَن منٛز۔","conversation"
"You went to Loyola College, right?","ژٕ گٔیکھ لویولا کالیج، چھُ نَہ؟","conversation"
"Yeah, I studied there.","اۭں، مےٚ چھُ پوٚرمُت تَتہِ۔","conversation"
"These colleges that you mentioned are pretty well known.","یِم کالیج ژَے ؤنِتھ تِم چھِ کٲفی مشہوٗر۔","conversation"
"What is the entrance process?","اٮ۪نٹرینَس پراسیس کیٛاہ چھُ؟","conversation"
"Yeah, some colleges conduct their own entrance exams.","اۭں، کینٛہہ کالیج چھِ پنُن اٮ۪نٹرینس اٮ۪کزام کنڑکٹہٕ کران۔","conversation"
"They look at the 10th and 12th standard grades as well.","تِم چھِ دٔہمہِ تہٕ بٔہمہِ ہِنٛدۍ مارکَس تہِ ؤچھان۔","conversation"
"There are national tests like the NID Entrance Exam, too.","تٮ۪شنل ٹیسٹہٕ تہِ چھِ، یِتھ کٔنۍ زَن اٮ۪ن آیی ڈی اٮ۪نٹرینس اٮ۪کزام۔","conversation"
"My friend did really well for her boards, so she can ace any merit-based entrance.","میانہِ وٮ۪سہِ اوس بوڑَس منٛز واریٛاہ اصل کوٚرمُت، سۄ ہٮ۪کہِ کُنہِ تہِ میریٹ بیسٹ اٮ۪نٹرنسس منٛز اصل کٔرِتھ۔","conversation"
"She is not so confident in her creative skills.","سۄ چھَنہٕ پننٮ۪ن کریٹِو سیکلَن منٛز زِیٛادٕ کانفڈینٹ۔","conversation"
"How long is the diploma course in these universities?","یِمَن یوٗنیورسٹٮ۪ن منٛز کۭتِس کالَس چھُ ڈپلوما کورَس؟","conversation"
"It usually lasts between a year or two.","یہِ چھُ عموٗمَن ؤرۍ یَس یا دوٚن ؤرۍ یَن تام آسان۔","conversation"
"It actually depends on the college you take admission at.","یہِ چھُ بزٲتی تَتھ کالیجَس پٮ۪ٹھ ڈپینڑ کران، ییتہِ تُہۍ اٮ۪ڈمیشن کٔرِو۔","conversation"
"Are the career options good?","کیٛاہ کٔرییَر آپشن چھےٚ اصل؟","conversation"
"Yeah, the job prospects in this field are promising.","اۭں، نوکری ہِنٛدۍ امکان چھِ اَتھ شعبَس منٛز پرٛامسنٛگ۔","conversation"
"This is especially considering the world becoming increasingly digital.","یہِ چھُ خاص کٔرِتھ دُنیا تیٖزی سان ڈیجیٹل گژھنَس پٮ۪ٹھ غور کران۔","conversation"
"Hmm.. I see what you mean.","ہمم۔۔مےٚ توٚر سمٕجھ چھون مطلب کیٛاہ چھُ۔","conversation"
"Do you know anyone who has taken this course before?","کیٛاہ ژٕ زانہَنہٕ کانٛہہ ییٚمۍ یہِ کورس کوٚرمُت چھُ؟","conversation"
"Yeah, one of my friends did a diploma in web designing some five years back.","اۭں، میٲنۍ أکۍ دوستَن اوس کوٚرمُت ویب ڈزاینٛگ منٛز ڈپلوما کینٛہہ پانٛژھ ؤری برٛونٛہہ۔","conversation"
"He is a successful web designer today.","سُہ چھُ آز اکھ کامیاب ویب ڈزاینَر۔","conversation"
"Can I have his contact information, if you don't mind?","اگر نہٕ ژَےٚ کانٛہہ مسلہٕ چھُۍ، مےٚ ہیکیا تٔمۍ سُنٛد کنٹیکٹ انفارمیشن مِلِتھ؟","conversation"
"Its so that I can give it to my friend so she can talk to someone in detail about the course.","یہِ چھُ اَمہِ موجوب زِ بہٕ ہیکہٕ یہِ پننہِ ویسہِ دِتھ، سۄ ہیکہِ کٲنسہِ سۭتۍ ڈیٹیلَس منٛز اَتھ کورسَس مُتعلِق کَتھ کٔرِتھ۔","conversation"
"Of course, I shall send you the contact on WhatsApp.","آ۔ بہٕ سوزَے ژَے واٹس ایپَس پیٹھ نمبَر۔","conversation"
"Am I too late?","کیٛاہ مےٚ گوٚوا زےادٕہ ژیرَ","conversation"
"Did the parade start?","کیٛاہ پریڈ گوٚوا شروع؟","conversation"
"I don't know why I overslept.","مےٚ چھےٚ نہٕ پتہٕ، بہٕ کیٛازِ شوٚنگُس زِیٛادٕ۔","conversation"
"Don't worry, you are right on time.","مَہ گژھ پریشان، ژٕ ووتُکھ ٹایمَس پیٹھ۔","conversation"
"It has just been 5 minutes.","ؤنہِ گٔیی صرف 5 منٛٹ۔","conversation"
"Come and have a seat.","وَلہٕ بِیہہ پَتھر۔","conversation"
"What did I miss?","مےٚ کیٛاہ گوٚو مِس؟","conversation"
"Nothing much! Just the unfurling of the national flag by the President.","زِیٛادٕ نہٕ کینٛہہ! صرف صدر سٕنٛدِ طرفہٕ قومی جھنٛڈٕ کھالُن۔","conversation"
"And the booming 21-gun salute to the president.","بیٚیہِ صدرَس 21 توپَن ہِنٛز سلٲمی دِنۍ۔","conversation"
"At present, the different regiments of the Army, Navy, and Air Force, along with their bands are marching from the Rashtrapati Bhawan along the Rajpath.","وٕنکیس چھِ مختلِف رجمنٹَن ہٕنٛدۍ فوج، سمندری فوج تہٕ فضٲیی فوج پننین بینڈَن سۭتۍ راشٹرپتی بھون پیٹھٕ راج پتھَس پیٹھ مارچ کران۔","conversation"
"Where are they heading to?","یِم کوٚت چھِ گژھان؟","conversation"
"To the India Gate and finally to the Red fort.","انڈیا گیٹ تہٕ ٲخرَس پیٹھ لال قٕلَس تام۔","conversation"
"As each of them go by, they pay homage to the President.","ییٚلہِ یِم برٛونٛہہ چھِ پَکان، یِمَو منٛز چھُ پرٛیتھ اکھ صدرَس خراج پیش کران۔","conversation"
"And look how he in turn is standing up and encouraging them as they march forward.","تہٕ ؤچھ سُہ کِتھ پٲٹھۍ چھُ کھڑا تہٕ تِمَن حوصلہٕ افزٲیی کران ییٚلہِ تِم مارٕچ کران چھِ۔","conversation"
"I wish to see all of it in person someday.","بہٕ چھُس یژھان کُنہِ دۄہ یہِ سورُے کینٛہہ پانہ ؤچھُن۔","conversation"
"What about the representation of different states?","مُختٔلِف ریاستَن ہِنٛز نُمٲیندٕگی مُتعلِق کیٛاہ خیال چھُ؟","conversation"
"Will it be after the army marches past?","کیٛاہ یہِ گژھا فوج مارٕچ پاسٹ پتہٕ؟","conversation"
"Yes, once all the regiments march away, they will arrive.","آ۔ ییٚلہِ سٲری رجمنٹ مارچ مۄکلاوَن کٔرِتھ، تِم واتن۔","conversation"
"Each state is represented by a tableaux.","پرٛیتھ ریاستٕچ نُمٲیندٕگی چھِ اَکہِ ٹیبلو ذٔریعہٕ یِوان کرنہٕ۔","conversation"
"They showcase the history, culture, heritage, dvelopment programmes and environment of their respective states.","تِم چھِ پننین پننین ریاستَن ہندِ تٲریخ، ثقافت، وَراثَت، ترقیٲتی پروگرام تہٕ ماحولٕچ نُمٲیِش کران۔","conversation"
"They carry some animations and sound along with them.","تِمَن چھِ پانَس سۭتۍ کینٛہہ انیمیشن تہٕ ساونٛڈ تہِ آسان۔","conversation"
"It is a very colorful display.","یہِ چھُ واریاہ رنٛگیٖن نظارٕہ۔","conversation"
"Yeah, and my favourite part of the entire parade too.","آ، تہٕ سٲرسٕے پریڈَس منٛز میون پسندیدٕ حِصہٕ تہِ۔","conversation"
"I still remember how the tableaux of West Bengal was decorated last time.","مےٚ چھُ وُنہِ تہِ یاد زِ پٔتمہِ لَٹہِ کِتھ پٲٹھۍ اوسُکھ مغربی بنٛگالُک ٹیبلکس سجوومُت۔","conversation"
"And also the dancers on it, exhibiting the folk dance form of rural bengal.","تہٕ بیٚیہِ اَتھ پیٹھ ڈانسَر، یِم دِہٲتی بنٛگال کہ لوک ناچچ پیش کران چھِ۔","conversation"
"I wonder what they have in store this year.","بہٕ چھُس سونٛچان ییٚمہِ ؤرۍ یہِ کیٛاہ ہاون تِم۔","conversation"
"Let us wait and watch.","ادٕ سٲ پیارَو تہٕ وُچھَو۔","conversation"
"But do not forget, you have your sit and draw competition today at around 12 noon.","مگر یِنہٕ مٔشِتھ گژھی، ژَے چھُۍ از دُپہرَس 12 بجہِ پنُن سِٹ اینٛڈ ڈرا مُقابلہٕ۔","conversation"
"Are you prepared for that?","کیٛاہ ژٕ چھُکھٕ تَتھ باپت تیار؟","conversation"
"I have practised my sketches already.","مےٚ چھِ پننین سِکیچن ہِنٛز پرکٹِس گۄڈَے کٔرمٕژ۔","conversation"
"I am drawing a glimpse of the Republic Day parade itself.","بہٕ بناوٕ پانہٕ یومِ جمہوٗریہ پریڈٕک اکھ تصویر۔","conversation"
"I hope I can bag a prize.","مےٚ چھِ وۄمیٖد زِ بہٕ ہیکٕہ انعام زینِتھ۔","conversation"
"Do not bother about the prizes.","انعامٕچ فِکٕر مَہ کَر۔","conversation"
"Just enjoy yourself out there.","بَس تُل مزٕہ اتین۔","conversation"
"I wish you all the best.","آل دی بیسٹ۔","conversation"
"Thank you so much, Dad.","سیٹھاہ شُکریہ، ڈیڈ۔","conversation"
"But make sure you watch the part of the parade I will be missing due to the competition.","مگر پریڈُک حِصہٕ ؤچھ زِ ضروٗری، مےٚ گژھہِ مِس مُقابلہٕ کہِ وجہہ سۭتۍ۔","conversation"
"I will hear about it at bedtime.","شۄنگنہٕ وِزِ بوزٕ بہٕ اَتھ مُتعلِق۔","conversation"
"Hello, is this Samadhan helpline?","ہٮ۪لو، کیٛاہ یہ چھا سمادھان ہیلپ لاین؟","conversation"
"Yes, how can I help you?","آ۔ بہٕ کِتھ پٲٹھۍ ہیکہٕ تۄہہِ مددتھ کٔرِتھ؟","conversation"
"I'm Harish, and I'm calling on behalf of Swami Vivekanand Educational Institute.","بہٕ چھُس ہرِیش، تہٕ بہٕ چھُس سوامی وویکانٛند ایجوکیشنل انسٹی ٹیوٗٹ پیٹھ فون کران۔","conversation"
"I'd like to learn more about the Merit-cum-Means Scholarship Programme.","بہٕ چھُس میرِٹ-کم-مینز سکالرشِپ پروگرٛامَس مُتعلِق مزید یژھان زانُن۔","conversation"
"So that I can inform our students about this programme.","تاکہِ بہٕ ہیکہٕ پننین طالب علمَن اَتھ پروگرٛامَس مُتعلِق معلوٗمات دِتھ۔","conversation"
"Alright! The Scheme's principal goal is to provide financial help to underprivileged and deserving students from minority populations.","ٹھیٖک چھُ! سکیمہِ ہُنٛد بُنیٲدی مقصد چھُ اقلیتی آبٲدی ہٕنٛدین پسماندٕ تہٕ مستحق طلب علمَن مٲلی مددتھ فراہم کرُن۔","conversation"
"And with this scholarship, they will be able to pursue professional and technical education.","تہٕ ییٚمہِ سکالرشِپ سۭتۍ ہیکَن تِم پیشورانہ تہٕ تکنیکی تٔعلیم حٲصل کٔرِتھ۔","conversation"
"This scheme is initiated by the Ministry of Minority Affairs.","یہِ سکیٖم چھِ اقلیتی امورٕکۍ وزارتَن شروٗع کٔرٕژ۔","conversation"
"Yes, sir.","آ، سَر۔","conversation"
"Is it correct that the scholarship is for studies in India, sir?","کیٛاہ یہِ چھےٚ پوٚز زِ یہِ سکالرشِپ چھِ ہندوستانَس منٛز تعلیم حاصل کرنہ مۄکھٕ ؟","conversation"
"Yes. The scholarship will only be given to students studying in a government or private university in India.","آ۔ یہِ سکالرشِپ یِیہِ صرف تِمَن طالب علمَن دِنہٕ یِم ہنٛدوستانَس منٛز سرکٲرۍ یا پرایویٹ یوٗنیورسٹین منٛز آسَن پران۔","conversation"
"Is this scholarship only for undergraduate students?","کیٛاہ یہِ سکالرشِپ چھےٚ صرف انڈرگرٛیجویٹ طالب علمَن ہندِ باپت؟","conversation"
"No, it will cover technical and professional courses at undergraduate and post graduate level.","نَہ، اَتھ منٛز چھِ انڈرگرٛیجویٹ تہٕ پوسٹ گرٛیجویٹ لیولہِ ہِنٛدۍ تکنیکی تہٕ پرافیشنل کورس شامِل۔","conversation"
"What are the criteria for applying for this scholarship?","سکالرشِپ باپت درخواست کرنہ باپت کیٛاہ کرایٹیریا چھُ؟","conversation"
"Students who received at least 50% or an equivalent grade in their previous final examination will be eligible for a scholarship.","تِم طالبہِ علِم یِمَن پننین پٔتمین فاینل امتحانَن منٛز کم از کم %50 یا برابَر گریڈ آسَن، تِم آسَن امہ سکالرشپ باپت مستحق۔","conversation"
"Also, if their parents' or guardians' annual income from all sources does not exceed Rs. 2.50 lakh.","بیٚیہِ، اگر تِہنٛدین پیرنٹسَن یا گارڈینَن ہٕنٛز ؤرۍ یِچ آمدنی تمام ذٔریعَو پیٹھ 2.50 لَچھ کھۄتہٕ زِیادٕ آسہِ نہٕ۔","conversation"
"Sir, how many students will be awarded with the MCM?","سَر، کٲتیاہَن طالب علمَن MCM؟","conversation"
"A total of 60,000 scholarships are targeted to be distributed as Fresh Scholarships, besides renewal scholarships.","رِنیٚوَل سکالرشِپَو ورٲے یِنۍ ٹوٹَل 60,000 فریش سکالرشِپ دِنہٕ۔","conversation"
"That's a large number, and it will be beneficial to students who are in need.","یہِ گوٚو واریٛاہ، تہٕ یہِ روزِ تِمَن طالب علمَن ہندِ حقہ فٲیدٕ منٛد یم ضرورت مند آسن۔","conversation"
"These scholarships are also a source of motivation for other students.","یِم سکلرشِپ چھِ باقین طالب علمَن ہندِ باپت تہ حوصلہٕ افزٲیی ہُنٛد ذٔریعہٕ۔","conversation"
"Yes, you are right.","آ پٔز پٲٹھۍ۔","conversation"
"There is one reservation policy, that is 30% scholarship is earmarked for girls students of each minority community in a State/UT.","اَتتھ منٛز چھِ اکھ ریزرویشن پالیسی، یعنی %30 سکالرشپ چھِ ریاست/یوٗ ٹی منٛز پریتھ اقلیتی برادٔری ہنزن کورین ہندِ باپت۔","conversation"
"Oh, that's excellent.","آہ، سُہ گوٚۄ واریاہ جان۔","conversation"
"How long will this scholarship last?","یہِ سکالرشِپ کٲتِس کالَس روزِ؟","conversation"
"Scholarship will be provided for the entire academic year/course.","یہِ سکالرشِپ یِیہِ پوٗرٕ تٔعلیمی ؤرۍ یَس/کورسَس خٲطرٕ فراہم کرنہٕ۔","conversation"
"And the maintenance allowance will be given as fixed lump sum amount for an academic year of Rs. 10,000/- for hostellers and Rs. 5,000/- for day scholars.","تہٕ مینٹنینس الاونس یِیہِ تٔعلیمی ؤرۍ یہِ باپت گنڈِتھ کُلی رقمہ پٲٹھۍ دِنہٕ۔ 10,000/- ہوسٹل والینہندِ باپت تہٕ 5,000/- دۄہہ پٲٹھۍ سکالرَن ہندِ باپت۔","conversation"
"Great! How to apply for the scholarship?","واریاہ زبر! سکالرشِپ باپت کِتھ کٔنۍ کرَو ایپلاے؟","conversation"
"The scheme is implemented through the National Scholarship Portal (NSP).","یہِ سکیٖم چھِ نیشنل سکالرشپ پورٹل (NSP) ذٔریعہٕ لاگوٗ آمٕژ کرنہٕ۔","conversation"
"It is mandatory for all students to apply online on the website i.e. www.scholarships.gov.in.","یہِ چھُ سارنٕے طالب علمَن ہندِ باپت لازمی آن لایِن ویب سایٹہِ پیٹھ اپلاے کرُن، یہِ چھِ www.scholarships.gov.in","conversation"
"It will be useful for them.","یہِ روزِ تِہنٛدِ باپت مُفیٖد۔","conversation"
"You can download more details from the National Scholarship Portal.","تُہۍ ہیکِو مذید تفصیلات نیشنل سکالرشِپ پورٹل پیٹھ ڈاوُن لوڈ کٔرِتھ۔","conversation"
"Sure, sir. Thank you so much!","ٹھیک چھُ، سَر۔ تُہنٛد سیٹھاہ شُکریہ!","conversation"
"You are welcome.","کینٛہہ چھُنہٕ۔","conversation"
"Hello, I am getting married in the coming month.","اسلامُ علیکُم، مےٚ چھُ بیٚکہِ رٮ۪تہٕ خانٛدَر۔","conversation"
"Could you please guide me on the legal procedure?","کیٛاہ تُہۍ ہٮ۪کوٕ مےٚ مہربٲنی کٔرِتھ قانوٗنی طریقہٕ کارَس مُتعلِق مددتھ کٔرِتھ؟","conversation"
"How can I make my marriage a valid legal entity?","بہٕ کِتھ کٔنۍ ہیکہٕ پنُن کھاند قانونی لحاظٕ صحیح اینٹٹی بنٲوِتھ؟","conversation"
"A marriage must be registered for it to be acknowledged legally.","قانوٗنی طور تسلیم کرنہٕ باپت چھُ کھانٛدَر رجسٹر کرناونہ یُن ضروٗری۔","conversation"
"The process of registration of a marriage ends with the bride and the groom obtaining a marriage certificate.","کھانٛدرٕچ رجسٹریشن کرنُک طریقہٕ چھُ مہرازٕ تہٕ مہرِنہِ ہُنٛد نکاح نامہٕ وصوٗل سۭتۍ ختٕم گژھان۔","conversation"
"How can I obtain a marriage certificate?","بہٕ کِتھ کٔنۍ ہیکہِ نکاح نامہٕ حٲصِل کٔرِتھ؟","conversation"
"You are required to submit an affidavit requesting the registration of your marriage.","تۄہہِ پیٚے وٕ حلف نامہٕ جمع کرنک ضروٗرت، یَتھ منٛز تُہنٛدِ کھانٛدرٕچ رجسٹریشن ہُند درخاست کرُن چھُ۔","conversation"
"A couple can submit a joint affidavit for their marriage, or they can choose to submit an individual affidavit.","اکھ جوٗرۍ ہیکہِ پننہِ کھاندرٕ باپت اکھ کُنُے حلف نامہٕ جمع کٔرِتھ، یا تِم ہیکَن الگ الگ حلف نامہٕ جمع کرنُک انتخاب کٔرِتھ۔","conversation"
"Is there any difference between the two?","کیٛاہ یِمَن دۄن منٛز چھا کینٛہہ فرق؟","conversation"
"Not significantly as much, but some states mandate a joint affidavit submission.","نَہ زیادٕ نہٕ کینٛہہ، مگر کینژن رِیاستَن منٛز چھُ کُنُے حلف نامہٕ جمع کرنُک حُکم دِوان۔","conversation"
"Okay, what are the steps in filing a joint affidavit for registration of marriage?","ٹھیک چھُ، کھانٛدرٕچ رجسٹریشن باپت کُنُے حلف نامہٕ برنہ مۄکھٕ کیاہ کیاہ چھُ کرُن؟","conversation"
"Marriages can be registered under two acts in India, the Special Marriage Act of 1954 and the Hindu Marriage Act of 1955.","ہنٛدوستانَس منٛز ہیکَو کھانٛدَر دۄیو ایکٹَو تحَت رجسٹر کٔرِتھ، 1954ہُک سپیشل میرج ایکٹ تہٕ 1955 ہُک ہندو میرج ایکٹ۔","conversation"
"The former is applicable to everyone regardless of their faith or religion, and it includes Indian nationals living in foreign countries.","گۄڈٕنیُک چھُ سارنٕے پیٹھ لاگو گژھان تِہنٛدِ عقیدٕ یا مذہب باوجود، تہٕ اَتھ منٛز چھِ بیروٗنی مُلکَن منٛز روزَن وٲلۍ ہندوستٲنۍ شہری تہِ شٲمِل۔","conversation"
"Interfaith marriages are to be registered under that act too.","بین مذہب کھاندر تہِ چھِ تٔتھۍ ایکٹَس تحت رجسٹر یِوان کرنہٕ۔","conversation"
"The latter is an act for two Hindus, extending to Jains, Buddhists and Sikhs.","دویِم ایکٹ چھُ دۄن ہینٛدین ہندِ باپت، یُس جین، بدھ مت تہٕ سکھَن پیٹھ تہِ چھُ لاگو گژھان۔","conversation"
"What steps are to be followed to submit a joint affidavit under the Special Marriage Act?","سپیشل میرج ایکٹَس تحت کُنُے حلف نامہ جمع کرنہٕ باپت کم قدم چھِ تُلنۍ؟","conversation"
"First, a notice of intended marriage has to be filed to the Marriage Registrar of your district.","گۄڈٕ چھُ پننِس ضِلعہٕ کِس میرج رجسٹرارَس کھانٛدرُک نوٹس دِیُن۔","conversation"
"It can only be filed from a place where either parties have resided for a minimum of thirty days.","یہِ ہیکَو صرف تمہ جایہِ پیٹھ بٔرِتھ ییٚتہِ دۄشوٕے فرییٖق آسَن کم از کم تٕرہَن دۄہَن روٗدمٕتۍ۔","conversation"
"This notice is then displayed on the notice board at the Registrar's office allowing any person who objects to the alliance to come forward.","اَمہِ پتہٕ چھُ یہِ نوٹس رجسٹرار سٕنٛدِس دفترَس منٛز نوٹس بورڈَس پیٹھ لاگنہٕ یِوان، ییٚمہِ سۭتۍ کٲنٛسہِ تہِ یِتھِس شخصَس برٛونٛہہ کُن ینُک اجازت چھِ دِوان یس اتھ کھاندرس پیٹھ اعتراض آسہِ۔","conversation"
"If no one objects to the alliance within 30 days, is the marriage solemnised?","اگر 30 دۄہَن انٛدر کٲنٛسہِ تہِ اَتھ مِلِس پیٹھ اعتراض آسہ نہٕ، تیٚلہِ چھُ کھاندر مکمل گژھان؟","conversation"
"Yes, the bride and the groom are called to the office to solemnise their marriage in the presence of 3 witnesses from either side.","اَہَن حض،مہرازَس تہٕ مہرِنہٕ چھِ دۄشوٕنی طرفہٕ 3 گواہَن ہِنٛدِ موجودگی منٛز پننہِ کھانٛدرٕچ تقریب باپت دفتر ناد یِوان دِنہٕ۔","conversation"
"Each of these six witnesses have to sign in the register.","یِمن شیٚنوٕنی گواہَو چھُ پرٛیتھ أکِس رجسٹرَس پیٹھ دستخط کرُن۔","conversation"
"How is the process different for the Hindu Marriage Act?","ہندو میرج ایکٹ باپت کِتھ کٔنۍ چھُ یہِ عمل مختلف؟","conversation"
"The couple has to fill an application form and submit it along with two photographs of their wedding ceremony and an invitation card for the same.","جورِ چھُ اکھ درخاست فارم برُن تہٕ اَتھ سۭتۍ پننہِ کھانٛدرٕکۍ زٕ فوٹو تہٕ کھانٛدرُک روقہٕ برُن۔","conversation"
"Both parties must submit proofs of their identity, age and address.","دۄشوٕنی فریقَن چھِ پنٕنۍ شناخت، وٲنٛس تہٕ پتہ ہُک ثوبوٗت پیش کرُن۔","conversation"
